range, mill, diff100m, eta
16800, 129, -6, 20.9
16900, 130, -6, 21.0
17000, 131, -6, 21.2
17100, 132, -6, 21.3
17200, 132, -6, 21.4
17300, 133, -6, 21.5
17400, 134, -6, 21.7
17500, 135, -6, 21.8
17600, 136, -6, 21.9
17700, 136, -6, 22.0
17800, 137, -6, 22.2
17900, 138, -6, 22.3
18000, 139, -6, 22.4
18100, 140, -6, 22.6
18200, 140, -6, 22.7
18300, 141, -6, 22.8
18400, 142, -6, 22.9
18500, 143, -6, 23.1
18600, 143, -6, 23.2
18700, 144, -6, 23.3
18800, 145, -6, 23.4
18900, 146, -6, 23.6
19000, 147, -5, 23.7
19100, 147, -5, 23.8
19200, 148, -5, 24.0
19300, 149, -5, 24.1
19400, 150, -5, 24.2
19500, 151, -5, 24.3
19600, 151, -5, 24.5
19700, 152, -5, 24.6
19800, 153, -5, 24.7
19900, 154, -5, 24.9
20000, 155, -5, 25.0
20100, 155, -5, 25.1
20200, 156, -5, 25.2
20300, 157, -5, 25.4
20400, 158, -5, 25.5
20500, 159, -5, 25.6
20600, 159, -5, 25.7
20700, 160, -5, 25.9
20800, 161, -5, 26.0
20900, 162, -5, 26.1
21000, 163, -5, 26.3
21100, 163, -5, 26.4
21200, 164, -5, 26.5
21300, 165, -5, 26.6
21400, 166, -5, 26.8
21500, 167, -5, 26.9
21600, 167, -5, 27.0
21700, 168, -5, 27.2
21800, 169, -5, 27.3
21900, 170, -5, 27.4
22000, 171, -5, 27.5
22100, 171, -5, 27.7
22200, 172, -5, 27.8
22300, 173, -5, 27.9
22400, 174, -5, 28.1
22500, 175, -5, 28.2
22600, 175, -5, 28.3
22700, 176, -5, 28.4
22800, 177, -5, 28.6
22900, 178, -5, 28.7
23000, 179, -5, 28.8
23100, 180, -5, 29.0
23200, 180, -5, 29.1
23300, 181, -5, 29.2
23400, 182, -4, 29.4
23500, 183, -4, 29.5
23600, 184, -4, 29.6
23700, 184, -4, 29.7
23800, 185, -4, 29.9
23900, 186, -4, 30.0
24000, 187, -4, 30.1
24100, 188, -4, 30.3
24200, 188, -4, 30.4
24300, 189, -4, 30.5
24400, 190, -4, 30.7
24500, 191, -4, 30.8
24600, 192, -4, 30.9
24700, 193, -4, 31.0
24800, 193, -4, 31.2
24900, 194, -4, 31.3
25000, 195, -4, 31.4
25100, 196, -4, 31.6
25200, 197, -4, 31.7
25300, 198, -4, 31.8
25400, 198, -4, 32.0
25500, 199, -4, 32.1
25600, 200, -4, 32.2
25700, 201, -4, 32.4
25800, 202, -4, 32.5
25900, 202, -4, 32.6
26000, 203, -4, 32.7
26100, 204, -4, 32.9
26200, 205, -4, 33.0
26300, 206, -4, 33.1
26400, 207, -4, 33.3
26500, 207, -4, 33.4
26600, 208, -4, 33.5
26700, 209, -4, 33.7
26800, 210, -4, 33.8
26900, 211, -4, 33.9
27000, 212, -4, 34.1
27100, 212, -4, 34.2
27200, 213, -4, 34.3
27300, 214, -4, 34.5
27400, 215, -4, 34.6
27500, 216, -4, 34.7
27600, 217, -4, 34.9
27700, 217, -4, 35.0
27800, 218, -4, 35.1
27900, 219, -4, 35.3
28000, 220, -4, 35.4
28100, 221, -4, 35.5
28200, 222, -4, 35.7
28300, 222, -4, 35.8
28400, 223, -4, 35.9
28500, 224, -4, 36.1
28600, 225, -4, 36.2
28700, 223, -4, 36.3
28800, 227, -4, 39.5
28900, 227, -4, 36.6
29000, 228, -4, 36.7
29100, 229, -4, 36.9
29200, 230, -4, 37.0
29300, 231, -4, 37.1
29400, 232, -4, 37.3
29500, 233, -4, 37.4
29600, 233, -4, 37.5
29700, 234, -4, 37.7
29800, 235, -4, 37.8
29900, 236, -4, 37.9
